preferredLabel
 artificial intelligence engineer 
3D animator
3D body scanning technologies
3D lighting
3D modeller
3D modelling
3D printing process
3D printing technician
3D texturing
5S methodology
ABAP
ABBYY FineReader
AJAX
APL
ASP.NET
ATM repair technician
ATM systems
Absorb (learning management systems)
Adobe Illustrator
Adobe Photoshop
Adobe Photoshop Lightroom
African studies
Agile development
Agile project management
Aircrack (penetration testing tool)
Ajax Framework
Albanian
Ancient Greek
Android (mobile operating systems)
Angular
Ansible
Apache Maven
Apache Tomcat
Arabic
Armenian
Assembly (computer programming)
Azerbaijani
Backbox (penetration testing tool)
Basque
Belarusian
Bengali
Berber
Bible texts
Bihari
BlackArch
BlackBerry
Bosnian
Brightspace (learning management systems)
Buddhism
Bulgarian
C#
C++
CA Datacom/DB
CAD for footwear
CAD for garment manufacturing
CAD software
CADD software
CAE software
CAM software
COBOL
CSS
Cain and Abel (penetration testing tool)
Canvas (learning management systems)
Capture One
Catalan
Chef (tools for software configuration management)
Chinese
Christianity
Cisco
Codenvy
CoffeeScript
Common Lisp
Computer Assisted Language Learning
Croatian
CryEngine
Czech
DB2
Danish
DevOps
Drupal
Dutch
EU funds manager
EU law
Earth science
Eclipse (integrated development environment software)
Edmodo
English
Engrade
Erlang
Estonian
European Structural and Investment Funds regulations
European Train Control System
European firearms-control legislation
European integration
European pesticide legislation
European political studies
European vehicle type-approval legislation
Filemaker (database management systems)
Finnish
Freinet school teacher
Freinet teaching principles
French
Frostbite (digital game creation systems)
GDPR
GIMP (graphics editor software)
Galician
GameSalad
Gamemaker Studio
Georgian
German
Global Maritime Distress and Safety System
Greek
Groovy
Grovo
Gujarati
Hadoop
Haskell
Havok Vision
Hebrew
HeroEngine
Hindi
Hungarian
IBM InfoSphere DataStage
IBM InfoSphere Information Server
IBM Informix
IBM WebSphere
ICT accessibility standards
ICT accessibility tester
ICT account manager
ICT application configurator
ICT application developer
ICT architectural frameworks
ICT auditor manager
ICT business analysis manager
ICT business analyst
ICT business development manager
ICT buyer
ICT capacity planner
ICT capacity planning strategies
ICT change and configuration manager
ICT communications protocols
ICT consultant
ICT debugging tools
ICT disaster recovery analyst
ICT documentation manager
ICT encryption
ICT environmental manager
ICT environmental policies
ICT hardware specifications
ICT help desk agent
ICT help desk manager
ICT help platforms
ICT information and knowledge manager
ICT infrastructure
ICT integration tester
ICT market
ICT network administrator
ICT network architect
ICT network cable limitations
ICT network engineer
ICT network routing
ICT network security risks
ICT network simulation
ICT network technician
ICT networking hardware
ICT operations manager
ICT performance analysis methods
ICT power consumption
ICT presales engineer
ICT problem management techniques
ICT process quality models
ICT product manager
ICT project management
ICT project management methodologies
ICT project manager
ICT quality assurance manager
ICT quality policy
ICT recovery techniques
ICT research consultant
ICT research manager
ICT resilience manager
ICT safety
ICT sales methodologies
ICT security administrator
ICT security legislation
ICT security standards
ICT security technician
ICT software specifications
ICT system administrator
ICT system analyst
ICT system architect
ICT system developer
ICT system integration
ICT system integration consultant
ICT system programming
ICT system tester
ICT system user requirements
ICT teacher secondary school
ICT technician
ICT test analyst
ICT trainer
ICT usability tester
ICT vendor relationship manager
IPC standards
IT auditor
Icelandic
Informatica PowerCenter
International Convention for the Prevention of Pollution from Ships
International Maritime Organisation conventions
Internet of Things
Interpret diagnostic procedures for vascular surgery
IoT developer
Irish
